Blog	second	available	here	want	how	re	came	than	best	and	much	life	things	any	had	has	right	old	people	for	time	team	such	internet	one	open	future	take	going	where	many	s	photos	being	around	world	her	with	an	as	at	to	past	more	company	its	always	found	really	number	also	see	last	let	read	d	be	by	into	up	us	ago	video	great	makes	next	this	when	high	could	there	should	ve	off	work	after	then	them	they	another	what	just	do	the	night	post	months	way	was	live	can	still	not	now	year	looking	that	online	only	between	these	media	death	t	your	lot	you	very	family	site	a	help	since	during	x	probably	both	look	while	used	game	some	go	facebook	need	so	based	years	nbsp	i	well	twitter	home	north	he	using	even	new	ever	never	before	better	don	m	said	three	say	is	it	in	if	make	left	down	finally	me	did	run	making	may	earlier	thing	think	first	long	little	were	show	get	enough	reading	according	those	same	money	again	public	two	coming	through	good	hard	most	find	yesterday	big	google	back	use	ll	day	have	we	like	about	but	every	street	would	my	times	end	over	each	got	free	days	already	top	too	news	games	been	social	gift	christmas	why	no	today	she	season	sure	come	week	seems	on	of	or	all	list	version	might	his	him	are	from	few	getting	something	our	out	their	which	who	will	other	know	because	own	made	book
Joho the Blog	0	0	0	0	2	0	0	1	0	8	0	0	0	1	1	4	0	0	3	8	2	0	0	4	1	0	0	1	0	0	0	13	0	0	0	1	0	1	2	3	3	18	0	2	0	2	0	0	0	1	1	1	1	0	1	4	2	2	0	1	1	0	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	2	3	0	2	0	0	27	0	2	0	0	1	0	0	0	2	0	3	0	10	0	1	0	1	3	0	2	0	1	1	26	0	0	18	0	0	1	0	1	0	0	0	1	0	6	1	0	1	6	1	0	0	4	1	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	10	3	12	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	4	4	0	0	4	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	4	13	1	1	0	0	1	0	0	0	0	0	0	0	2	1	2	0	0	1	0	1	2	0	0	2
ongoing by Tim Bray	1	0	2	2	1	4	0	0	1	25	0	0	1	2	1	0	4	0	2	8	1	0	0	1	2	0	0	1	1	1	0	5	0	0	1	0	0	5	2	3	1	14	0	2	0	1	2	0	0	1	2	2	2	0	2	2	1	4	1	2	1	2	0	0	0	0	5	0	1	0	2	1	2	0	0	1	1	2	1	2	1	1	2	33	1	0	0	0	8	0	4	0	2	1	0	0	7	0	0	0	1	0	0	5	1	1	10	1	2	0	16	0	1	0	0	1	3	1	2	0	0	5	1	0	0	3	0	2	0	27	0	0	2	0	0	0	1	1	0	2	1	2	2	1	0	1	1	7	9	10	4	1	2	1	0	0	0	0	0	0	1	0	2	1	0	0	0	0	1	1	5	0	2	0	0	0	1	1	1	1	2	0	0	0	0	0	0	2	3	4	1	5	3	0	3	4	0	0	0	3	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	2	3	0	7	21	3	2	0	0	1	0	0	5	2	2	0	0	1	1	1	4	3	1	2	0	2	0	0	1
The Full Feed from HuffingtonPost.com	0	0	1	0	1	1	2	4	2	35	1	3	1	1	4	7	0	1	6	11	0	1	0	0	5	0	0	0	0	0	2	26	0	0	1	1	3	14	4	9	9	24	0	30	0	3	0	1	2	0	0	1	1	1	13	0	7	3	3	3	1	0	7	1	0	0	6	6	1	4	2	1	0	1	0	7	0	3	4	1	2	1	0	101	3	0	1	1	14	0	3	1	3	3	1	0	22	0	2	2	0	1	8	4	1	2	5	4	2	0	39	1	0	2	0	0	5	1	4	0	2	2	2	0	0	2	0	2	0	2	1	0	3	14	15	0	3	1	0	2	4	2	1	1	7	2	0	8	12	27	2	0	0	1	2	0	1	0	0	2	2	2	3	3	1	0	3	4	0	0	0	0	0	1	0	0	1	4	0	0	1	0	1	1	0	1	0	1	0	0	0	3	4	4	6	8	0	0	6	0	2	0	4	3	3	2	4	0	1	0	0	0	5	1	2	0	0	0	1	9	5	0	0	4	0	38	41	0	1	0	0	2	7	4	4	8	1	0	2	1	1	6	2	1	1	2	0	0	2	2	0
Kotaku	1	0	3	0	1	8	1	4	2	39	0	1	0	1	6	6	5	7	1	27	4	3	1	1	8	2	0	3	1	4	4	44	0	1	0	2	0	7	7	9	15	29	0	42	0	8	0	0	1	1	3	2	6	2	2	2	7	6	4	4	1	1	24	1	0	1	16	4	0	0	8	1	4	3	0	3	3	2	5	0	10	7	2	87	0	0	0	0	11	1	8	4	8	7	5	2	18	1	3	1	0	0	1	7	12	0	32	2	0	1	53	0	1	1	0	0	0	0	1	0	17	2	1	0	4	9	2	3	40	8	1	1	0	1	6	0	2	8	0	1	3	3	2	2	0	2	1	20	21	30	11	4	5	3	2	0	6	0	2	1	4	0	2	4	0	1	1	1	6	0	1	0	2	1	0	0	0	2	3	0	2	0	3	0	0	0	0	1	1	2	2	4	4	4	6	5	0	1	2	4	1	2	2	3	2	2	5	0	4	0	1	8	1	0	2	5	1	2	6	0	0	1	1	10	0	21	30	6	5	1	0	2	4	1	8	7	1	4	2	1	7	4	3	1	3	6	2	1	0	0	0
Joystiq	5	6	9	3	11	25	1	12	5	177	2	5	8	2	6	26	11	11	0	139	9	4	2	0	16	0	2	3	4	2	6	104	0	8	2	16	0	51	21	33	24	171	5	22	8	14	1	0	9	0	15	50	3	2	2	4	26	25	11	20	14	1	12	0	6	5	67	4	2	7	14	0	12	7	3	16	7	7	12	11	19	11	12	332	1	1	0	4	13	5	28	3	20	15	14	2	67	3	12	5	2	2	0	42	34	2	79	2	1	1	132	0	0	5	3	3	3	4	6	1	71	19	3	2	12	18	5	6	160	10	4	3	2	4	8	5	9	15	7	1	7	2	12	0	1	5	3	46	67	123	15	5	10	11	3	1	0	3	7	8	0	4	8	10	5	7	4	5	14	5	16	2	5	2	7	1	2	6	4	10	6	1	7	3	1	4	4	4	46	4	6	17	64	20	16	24	7	2	5	3	0	2	1	1	3	16	15	8	6	4	1	22	10	5	0	8	1	10	3	0	1	5	1	11	0	137	161	22	18	6	3	2	15	2	18	18	2	2	4	52	12	12	9	8	28	6	8	9	5	7	0
Derek Powazek	0	1	6	1	7	7	1	2	1	70	1	5	1	0	3	5	4	2	2	33	4	0	0	1	13	1	0	1	4	0	1	43	2	0	1	3	9	17	5	10	7	52	0	6	1	1	4	1	2	1	2	3	7	1	0	2	7	5	4	11	4	2	0	5	0	1	9	11	1	1	7	1	11	1	3	4	7	2	6	3	9	11	7	97	2	3	2	0	13	2	8	4	6	10	4	1	19	2	1	4	2	2	1	10	6	1	19	1	1	2	62	0	1	0	0	1	2	0	1	1	0	3	4	0	1	7	0	5	0	69	2	1	0	0	5	1	1	5	1	3	1	0	4	12	3	4	3	17	39	35	9	1	1	2	0	15	4	0	0	0	0	4	4	3	1	7	2	3	6	5	4	0	1	3	3	2	0	9	1	1	1	3	2	1	0	1	0	2	0	4	2	3	7	9	9	14	3	1	0	22	1	0	5	1	1	0	4	1	2	2	1	0	8	0	3	0	1	2	2	7	0	1	3	3	0	14	39	5	10	0	0	1	3	2	11	5	5	2	8	3	9	4	2	1	5	3	6	3	2	2	6
Download Squad	1	23	9	7	9	33	3	8	6	221	6	1	2	12	4	54	10	0	4	174	19	4	5	8	19	4	2	6	6	8	6	114	0	10	7	2	0	60	44	54	38	264	2	24	2	31	2	2	3	5	35	51	6	2	4	3	49	21	16	25	5	1	8	2	1	11	63	13	0	4	13	11	12	4	6	20	6	9	11	2	14	24	13	388	0	4	12	7	10	16	58	19	23	67	5	2	79	1	13	2	8	0	0	29	89	6	144	5	0	2	158	4	8	4	7	8	4	4	14	1	1	14	7	8	3	14	6	4	160	13	13	2	1	0	0	16	13	57	4	2	11	3	4	1	1	4	3	102	111	141	43	11	6	5	9	1	1	4	3	11	0	1	1	10	3	6	4	2	16	3	6	0	8	3	0	2	2	7	3	7	2	2	10	4	0	1	36	5	56	8	2	42	23	29	13	28	2	0	7	2	2	0	18	1	3	7	4	8	6	7	3	1	39	2	2	0	2	8	7	0	0	6	1	7	2	161	190	29	14	6	21	3	0	1	27	50	6	2	7	45	40	8	36	7	43	10	6	3	4	7	0
Jeremy Zawodny's blog	3	2	6	3	8	5	1	4	2	132	4	1	5	2	17	7	5	0	6	39	23	3	3	2	20	0	2	3	8	8	3	29	5	4	3	1	1	24	5	21	24	155	0	14	2	0	1	1	12	2	7	10	2	0	3	13	25	8	9	24	28	6	0	2	4	5	20	16	6	13	19	6	7	5	6	11	16	7	26	4	15	9	6	269	2	2	0	13	65	0	16	4	9	5	2	2	88	0	7	2	1	1	0	22	13	7	36	16	0	1	141	5	7	2	3	6	4	0	6	1	0	22	9	0	5	23	0	8	0	111	7	1	1	0	9	4	4	8	3	3	12	2	1	6	2	1	6	29	70	63	18	4	4	25	1	17	7	1	1	5	0	3	3	13	10	2	24	0	16	2	4	0	2	3	0	0	2	6	3	2	6	5	8	2	2	0	0	16	10	8	8	23	62	17	15	25	1	0	8	21	3	5	9	5	8	1	0	1	4	5	0	0	6	1	0	0	5	5	3	2	0	3	1	4	3	53	101	23	12	1	0	2	10	4	12	15	13	6	7	22	8	13	9	5	12	8	5	6	0	7	1
Captain's Quarters	0	0	0	0	1	0	0	2	1	12	0	0	0	0	3	7	0	0	0	8	1	0	0	0	2	0	0	1	0	0	0	4	0	0	0	1	1	4	1	4	5	22	1	3	0	3	0	0	0	0	2	0	0	0	0	0	4	4	2	1	3	1	0	0	0	1	1	2	0	0	0	2	0	1	1	3	0	0	2	1	0	0	0	50	0	1	2	0	1	0	1	1	3	0	0	0	9	0	1	1	0	1	1	1	0	0	2	0	1	1	20	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	3	1	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	2	14	1	0	0	2	0	2	3	2	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	1	1	1	1	0	0	1	0	0	0	0	3	1	0	2	1	0	2	2	1	0	3	1	0	1	1	2	0	0	1	1	1	0	0	0	0	1	1	0	2	0	0	0	0	1	2	1	0	0	0	1	0	14	20	0	0	0	0	0	6	1	0	3	1	0	0	0	4	6	0	1	5	2	0	0	0	0	0
Stepcase Lifehack	2	1	37	52	67	43	5	22	29	572	18	47	34	17	17	33	21	3	45	184	84	7	7	2	63	2	19	32	25	13	19	176	0	16	16	18	19	139	57	78	92	644	20	64	24	11	20	4	21	2	23	14	11	17	13	7	153	70	27	47	24	2	4	21	9	13	106	63	8	18	43	15	42	10	60	18	30	37	58	12	89	40	118	710	4	4	7	51	28	5	143	10	88	41	34	14	244	3	30	5	22	7	0	121	208	12	466	13	8	8	501	36	7	5	2	3	27	12	12	11	3	43	19	28	63	68	5	17	4	277	15	14	1	0	15	3	30	19	7	11	18	40	39	38	7	7	20	233	268	207	83	45	3	23	8	35	5	10	12	21	3	20	23	25	11	12	8	1	75	8	3	2	31	25	2	11	2	19	14	21	31	10	36	21	5	7	1	15	29	16	47	96	121	44	63	93	8	2	23	113	7	13	25	8	9	15	18	7	4	9	1	3	22	14	18	0	21	21	27	19	6	11	10	5	1	193	366	122	50	14	3	5	26	20	119	73	8	13	26	71	54	35	27	44	112	25	33	26	17	2	26
Engadget	2	5	3	1	5	16	0	6	7	157	3	6	0	9	5	25	4	4	5	132	24	0	1	1	19	4	5	2	4	1	3	123	1	3	5	7	0	64	28	33	50	213	5	15	7	38	2	2	2	1	13	46	3	9	2	6	38	19	11	30	28	2	28	3	2	13	70	5	3	9	17	1	17	5	3	18	2	5	3	7	16	20	11	412	0	2	6	9	19	4	16	14	13	14	7	1	67	3	13	2	8	6	0	41	35	2	64	2	3	0	143	4	4	2	14	6	2	3	6	3	5	20	10	9	5	20	7	2	280	4	6	4	1	2	1	6	5	21	4	1	6	1	11	2	3	2	2	65	86	106	19	9	1	6	6	0	1	4	6	7	2	1	2	19	4	4	5	6	13	4	16	2	6	11	0	2	5	11	7	9	5	2	3	6	1	5	14	16	46	13	4	25	57	17	19	37	4	2	5	5	0	3	14	6	6	9	1	4	1	6	4	14	10	3	1	3	3	5	4	0	2	4	6	27	6	156	167	20	18	2	8	4	6	0	20	36	13	3	3	47	20	16	18	10	31	15	12	3	4	4	0
ThinkProgress	0	0	2	0	1	0	0	4	1	21	0	0	1	1	0	2	0	1	6	11	1	0	0	0	0	1	0	1	2	0	0	24	2	2	0	1	1	7	5	6	15	19	1	4	0	0	0	0	0	0	0	1	5	0	1	0	6	11	3	1	0	0	2	0	0	0	6	1	1	5	2	2	0	0	0	2	0	1	3	0	3	1	0	79	1	2	1	0	4	0	2	1	6	3	4	0	18	0	0	1	0	1	1	3	1	0	1	0	0	0	25	0	1	2	0	1	1	0	0	1	0	0	1	0	0	1	0	2	0	5	1	0	2	4	3	2	2	3	0	0	1	0	1	1	0	0	0	15	13	24	3	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0	4	1	0	1	1	3	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	1	4	5	3	3	6	0	0	3	1	0	1	2	0	0	0	0	1	1	0	2	0	2	0	0	1	1	0	1	0	0	0	0	1	0	15	33	4	2	0	0	0	7	0	4	9	0	1	0	2	3	0	2	5	8	0	1	0	0	1	0
blog maverick	0	0	1	0	0	1	0	1	0	11	1	0	3	0	0	1	0	0	3	4	0	0	0	0	1	0	0	1	2	1	0	6	0	0	0	0	0	6	2	2	0	25	0	4	0	0	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	1	0	2	0	0	4	1	0	0	0	2	0	0	0	2	1	1	5	2	5	0	10	38	0	2	0	0	3	0	2	0	5	0	0	0	5	0	0	0	2	0	0	2	2	1	8	0	0	0	9	0	0	0	0	0	0	0	0	1	0	3	1	0	0	2	0	1	0	12	0	0	0	0	0	0	0	2	1	0	0	0	1	2	0	0	1	5	9	5	2	3	0	0	0	2	1	0	0	1	0	2	1	1	0	0	0	0	2	1	0	0	0	3	3	2	1	0	1	0	1	0	1	0	1	3	0	1	0	0	1	0	3	1	2	2	4	7	2	7	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	1	0	0	4	15	3	2	0	0	1	0	0	5	4	0	2	1	2	0	1	0	0	1	0	4	0	0	0	0
Topix Blog	0	0	0	1	7	0	0	0	1	12	0	0	0	0	0	7	0	0	5	5	1	0	1	0	3	0	0	2	0	0	1	3	0	1	4	0	0	5	6	3	3	20	0	3	0	1	0	2	1	1	0	0	1	0	0	0	2	1	0	2	1	0	0	0	1	0	2	1	1	1	0	0	1	2	0	0	0	1	4	0	1	4	1	38	0	1	0	0	1	0	1	0	1	1	2	0	7	3	0	2	0	1	0	1	1	1	4	1	2	0	21	0	2	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	9	5	0	0	0	0	1	0	3	0	1	0	0	2	1	0	0	1	1	6	3	18	0	1	0	0	0	2	0	0	0	0	0	0	3	2	1	0	2	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	6	6	0	6	3	1	2	2	1	1	0	3	1	0	0	0	0	1	0	3	0	2	0	0	0	1	0	0	0	1	0	0	1	0	8	16	2	3	0	0	3	0	0	10	4	0	0	2	8	1	5	0	0	1	1	0	0	1	0	0
Shoemoney - Skills To Pay The Bills	0	0	1	0	1	0	0	1	0	6	0	1	0	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	2	0	1	4	15	1	2	2	2	2	0	2	0	2	2	1	0	0	0	2	1	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	1	1	2	0	1	2	3	13	0	0	0	0	0	0	2	0	1	0	2	0	1	0	1	0	0	1	0	3	7	0	6	0	0	2	7	2	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	3	5	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	7	0	2	4	2	1	0	2	4	0	0	2	0	0	3	1	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	6	7	2	4	0	0	0	0	0	1	0	0	1	1	1	0	0	1	0	4	0	0	1	0	0	0
